object_in_ context,OBJECT ID,TITLE,SUPPLIED_TITLE,DATE,SUBJECT_NAME,SUBJECT_NAME_2,SUBJECT_NAME_3,SUBJECT_NAME_4,SUBJECT_TOPIC,SUBJECT_TOPIC_2,SUBJECT_TOPIC_3,SUBJECT_GEOGRAPHIC,SUBJECT_GEOGRAPHIC_2,DESCRIPTION,TECHNIQUE ,TECHNIQUE_2,URI_medium,CREDIT LINE,DIMS (HxW),PUBLISHER,CREATOR,NAME TYPE (personalal / corporate),ACTIVE DATES,DOB/DOD,NATIONALITY
https://kiva.lib.utk.edu/egypt/items/show/805,1997.5.4,Statuettes de l'Ancien Empire (Saqqara),,1865-1895,Gizeh Museum,,,,Ushabti--Egypt,,,Sí£aqqaíãrah (Egypt),,"Exhibit of wood statuettes from Sakkara (Old Kingdom) at the Gizeh Museum; sixteen wooden statuettes from Sakkara, some painted, arranged on two shelves in glass case with three panels; ""Statuettes de L'Ancien Empire (Saqqara) No 210 Photo. Art. G. Lekegian & Co"" in white along top of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.375 x 10.625 in,,G. Lékégian & Cie.  ,corporate,ca.1865-ca. 1895,,
https://kiva.lib.utk.edu/egypt/items/show/660,1995.2.1,Vache trouvée á Sakara dans le tombeau d'Ephto Stoptep,,1867-1913,Ptahhotep,,,,"Inscriptions, Egyptian",Tombs--Egypt,,Saqqarah (Egypt),,"Plaster copy of wall relief from a Mastaba tomb of Ptahhotep (Old Kingdom Dynasty V) at an Egyptian Museum; copy of wall relief from the mastaba tomb of Ptahhotep, an ancient Egyptian official during the laste 25th - early 24th century; two men in kilts with blunt instruments pull and drive a large ox bound by rope at the neck, stylized hieroglyphs (above); wall relief contained in wooden frame; ""Bonfils I 203 Vache trouvée á Sakara dans le tombeau d'Ephto Stoptep"" in white along bottom of print. (Number on object is 1/696).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.5 x 11 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/683,1934.1.31.103,"Femmes musulmanes syriennes, costume de ville",,1867-1913,,,,,Wedding costume--Syria,Muslim women--Clothing,Brides--Syria,,,"Two muslim women at a photography studio wearing elaborate burqa against a forest-like backdrop; ""672 Femmes Musulmanes syriennes, costume de ville Bonfils"" in white along bottom of print.",albumen prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",10.75 x 8.25 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/684,1934.1.31.104,Jeune fille du Liban en costume de féte,,1867-1913,,,,,Women--Lebanon,Costume--Lebanon,,,,"Young woman at a photography studio with dark wavy hair wearing an Egyptian/Bedouin costume and jewelry with a jug on her right knee and her left arm upon a rock formation; forest backdrop (background); ""685_ Jeune fille du Liban en costumes de fête Bonfils"" in white along bottom of print.",albumen prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",10.75 x 8.25 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/685,1934.1.31.108,Jeune fille du liban coiffée du tentour,,1867-1913,,,,,Wedding costume,Druzes,,,,"An engaged woman. Image of a young woman at a photography studio wearing Egyptian dress and robes, gold jewelry, and a column-like headdress (foreground); forest-like backdrop (background); ""679 Jeune fille du liban coiffee du tentour Bonfils"" in white along bottom of print.",albumen prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",10.75 x 8.25 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/725,1996.9.6,Karnak Ruines du temples Amonphis,,1867-1913,"Temple of Amon (Karnak, Egypt)",,,,Temples--Egypt,,,Karnak (Egypt),,"Sunken colossi at eighth pylon, Temple of Amen at Karnak, East Thebes (New Kingdom Dynasty XVIII); two partially preserved seated colossi before ruined eighth pylon with weathered Egyptian inscriptions and hieroglyphs; ""Bonfils 23 & 137 Karnak Ruines du Temples Amonophis"" in black and white along bottom of print; ""Part of two large statues Karnak Upper Egypt"" in pencil on back of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.5 x 10.75 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/618,1996.10.16,"Royal Pavillion of Rameses III., and Temple of Medinet-Abu",,1867-1928,"Temple of Ramses III (Medinet Habu Site, Egypt)",,,,Temples--Egypt,,,Medinet Habu Site (Egypt),,"Lesser Temple of Rameses III at Medinet Habu, West Thebes (New Kingdom Dynasty XX); pylon and migdol entrance to the mortuary Temple of Rameses III in ruins, mountain range (background); ""Bonfils. 57. F. Bonfils"" on print at bottom left corner; ""57 Royal Pavillion of Rameses III., and Temple of Medinet-Abu."" in black at bottom right corner; ""Bonfils. Phot. Beyrouth Syrie Egypte Charles Taber & Co. New Bedford, Mass."" in white on print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.75 x 10.875 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/715,1997.5.10,Temple de Kourak à Thebes,,1867-1928,"Temple of Seti I (Abydos, Egypt)",,,,Temples--Egypt,,,Abydos (Egypt),,"Portico colonnade, Temple of Seti I at Qurna, West Thebes (New Kingdom Dynasty XIX); eight lotus capital columns, one broken at base (left) supporting partial lintel incised with cartouche of Rameses II, Egyptian man reclines at base of column (middle); ""Temple de Kourak a Thebes/Egypte/170. Bonfils."" in white along bottom of print.",gelatin silver prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",9 x 11.25 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/801,1996.9.3,Bas-relief de Rameses II trouvé à Sakkara. Egypte,,1867-1928,,,,,"Inscriptions, Egyptian",Heh (Egyptian deity),,,,"Relief of God Heh (Old Kingdom), plaster copy at the Gizeh Museum; the God Heh in traditional crouching stance in three quarter view holding palm stems in both hands wearing palm frond headdress in niche on relief; stylized cartouches of Rameses II (?) (top left and right corners of niche); framed by rows of uraei (top and bottom); ""Bonfils 203 Bas-relief de Rameses II trouve a Sakkara-Egypt"" in white along bottom of print; ""L. KUHN, editeur 20. Rue de Rivoli. PARIS"" impressed onto print, bottom right corner.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",11.125 x 9 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/802,1996.9.1,Déesse Isis. Egypte,,1867-1928,Isis (Egyptian deity),Gizeh Museum,,,"Relief (Sculpture), Egyptiian",,,,,"Relief of Goddess Isis (Ptolemaic Period), plaster copy at the Gizeh Museum; Goddess Isis in three quarter view with Hellenized face sits on throne wearing vulture cap and sun disk with horns and uraeus, she holds an ankh in left hand and the was scepter in the right (bottom left corner); stylized hieroglyphs in two columns (upper right corner); ""Bonfils 210 Deesse Isis-Egypt"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",11 x 6.125 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/803,1996.9.2,"Roi Ahmenophis, Egypte",,1867-1928,"Amenhotep III, King of Egypt",Gizeh Museum,,,"Relief (Sculpture), Egyptian",,,,,"Relief of King Amenhotep III (New Kingdom Dynasty XVIII), plaster copy at the Gizeh Museum; King Amenhotep III, ca. 1427-1401 B.C.E., in three quarter view seated on a throne wearing pleated kilt and lappet wig, holds sistrum in left hand; image of a monkey in profile beneath the king's throne with three pieces of fruit; five columns of hieroglyphs above king; ""213 Roi Ahmenophis, Egypte"" in white along bottom left edge; ""Bonfils 213 Roi Rue de Rivoli. PARIS"" impressed onto print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",11.125 x 9 in,,Bonfils family,corporate,19th-20th centuries,,
https://kiva.lib.utk.edu/egypt/items/show/617,1996.10.18,Medinet-Abou Galerie de la Deuxieme Cour,,1869-1880,"Ramesseum (Thebes, Egypt)",,,,Tombs--Egypt,Temples--Egypt,,Thebes (Egypt : Extinct city),,"Columns of Hypostyle Hall, Temple of Rameses II (Ramesseum) at the Theban Plain, West Thebes; closed papyrus columns within the hypostyle hall of the Temple of Rameses II, heavily inscribed with cartouches identifying Rameses II, hieroglyphs, and other Egyptian motifs; ""121. Medinet-Abou Galerie de la Deuxieme Cour H. Bechard"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",14.5 x 10.5 in,,"Béchard, Henri",personal,1869-late 1880s,,French
https://kiva.lib.utk.edu/egypt/items/show/713,1996.10.17,Medinet Abou Ruines du Grand Temple Ouest ,,1869-1880,"Temple of Ramses III (Medinet Habu Site, Egypt)",,,,Temples--Egypt,,,Medinet Habu Site (Egypt),,"Hypostyle Hall, Temple of Rameses III at Medinet Habu (New Kingdom Dynasty XX); ruined hypostyle hall with inscribed bases of columns, three Egyptian men, and storerooms (foreground) remains of pylon (background); ""No. 122 Medinet Abou Ruines du Grand Temple , Ouest ) H. Bechard"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.5 x 12.75 in,,"Béchard, Henri",personal,1869-late 1880s,,French
https://kiva.lib.utk.edu/egypt/items/show/600,1996.10.3,"Saqqarah, Tombeau de Ti.",,1869-1889,,,,,Tombs--Egypt--‡_¢aqq€rah,,,Sí£aqqaíãrah (Egypt),,"Mastaba Tomb of Ti at Sakkara (Old Kingdom Dynasty V); hieroglyphs inscribed broken columns within a sunken brick enclosure, six Egyptian men stand in ruins; one man crouches in sands (background); ""No 137 Saqqarah, Tombeau de Ti. H. Bechard."" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.5 x 14.75 in,,"Béchard, Henri",personal,1869-late 1880s,,French
https://kiva.lib.utk.edu/egypt/items/show/620,1995.3.3,Thèbes Ramseon,,1869-1889,"Ramses II, King of Egypt","Great Temple (AbÇ Sunbul, Egypt)",,,Temples--Egypt,,,Thebes (Egypt : Extinct city),,"Second court and fallen colossus, Temple of Rameses II (Ramesseum) at the Theban Plain, West Thebes (New Kingdom Dynasty XIX); Osiride colonnade (left) next to a ruined colossus of Rameses II indentified by cartouche upon shoulder (center foreground) colossus believed to be the inspiration behind Percy Bysshe Shelley's famous sonnet ""Ozymandias""; ruins (background); ""Peridis No. 1108 Thèbes Ramseon"" in white along bottom of print. (Number on object is 3/697).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",9.5 x 11 in,,"Peridis, P.",personal,,,
https://kiva.lib.utk.edu/egypt/items/show/621,1996.10.15,"Thèbes, Temple de Ramaseum, Intérieur de la Salle Hypostile",,1869-1889,"Ramesseum (Thebes, Egypt)",,,,Tombs--Egypt,,,Thebes (Egypt : Extinct city),,"Hypostyle Hall, Temple of Rameses II (Ramesseum) at the Theban Plain, West Thebes (New Kingdom Dynasty XIX); open papyrus columns of the hypostyle hall of the mortuary Temple of Rameses II heavily inscribed with cartouches indentifying Rameses II, hieroglyphs, and other Egyptian motifs; three Egyptian boys before ruins and ""Ozymandias"" statue (background); ""No 109 Thèbes, Temple de Ramaseum, Intérieur de la Salle Hypostile H. Bechard"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",14.875 x 10.5 in,,"Béchard, Henri",personal,1869-late 1880s,,French
https://kiva.lib.utk.edu/egypt/items/show/794,1934.1.31.62,Reservoir du Assuan,,1869-1889,,,,,,,,Aswan Dam (Egypt),,"Assuan barrage and cataract at Assuan; barrage and cataract of the Assuan Dam, completed in 1902, left, turbulent waters of the Nile (right); Nile shore and small town (background); ""RESERVOIR DU ASSUAN N 1102 PERIDIS"" in white along bottom of print. ",gelatin silver prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",8.625 x 11 in,,"Peridis, P.",personal,,,
https://kiva.lib.utk.edu/egypt/items/show/702,2002.6.2,Dèesee Thouerés trouvée à Karnak N°,,1870-1879,Mat‡ü´af al-Mi‡_£r€Ç,,,,Statues--Egypt,"Gods, Egyptian",,,,"Boulaq Museum; statue of the Goddess Tawaret; ""Dèesee Thouerés trouvée à Karnak N°"" title of print across the bottom. ",albumen prints,,,"Anonymous, McClung Museum of Natural History and Culture, The University of Tennessee",10.125 x 7.75 in,,Abdullah Frères,corporate,1858-1899,,
https://kiva.lib.utk.edu/egypt/items/show/703,2002.6.1,Osiris-Vache Hathor-Isis-Table d' offrande No.,,1870-1879,Osiris (Egyptian deity),Osiris (Egyptian deity),Mathí£af al-Misí£riíã,,Statues--Egypt,Hathor (Egyptian deity),,,,"Boulaq Museum; statues of ""Osiris - Hathor Cow - Isis - Table d'Offrande N°"" along the bottom of print.",albumen prints,,,"Anonymous, McClung Museum of Natural History and Culture, The University of Tennessee",9.75 x 7.75 in,,Abdullah Frères ,corporate,1858-1899,,
https://kiva.lib.utk.edu/egypt/items/show/585,1934.1.31.118,La retoure des Pyramides,,1870-1885,,,,,Tour guides (Persons)--Egypt,,,Jiíãzah (Egypt),,"The pyramid boys at Gizeh. A group of Egyptian boys before the old tree lined path to the Pyramids of Gizeh (foreground); Pyramid of Khufu complex, Pyramid of Khafre complex, Menkaure's Pyramic complex right to left (left background); ""Zangaki No. 410 La retoure des Pyramides"" in white along bottom of print. ",gelatin silver prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 11 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/587,1995.2.3,Ascension de la grande Pyramide,,1870-1885,,,,,Great Pyramid (Egypt),,,Jiíãzah (Egypt),,"Travellers Climb the Great Pyramid at Gizeh; three women in western dress are assisted in climbing the Pyramid of Khufu, constructed ca. 2560-2540 B.C.E., by five Egyptian men, two younger boys hold water jugs (top right); ""Zangaki No. 435 Ascension de la grande Pyramide"" in white along bottom of print. (Number on object is 3/696).",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",11.25 x 8.75 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/596,1934.1.31.101,Pyramide de Guizeh,,1870-1885,"Cheops, King of Egypt",,,,Tombs--Egypt,Great Pyramid (Egypt),,Jiíãzah (Egypt),,"Khufu (Cheops) Pyramid at Gizeh. Four Egyptian camel riders and a donkey with an Egyptian boy before the Great Pyramid, constructed ca. 2560-2540 B.C.E.; ""Zangaki Pyramide de Guizeh"" in white along bottom of print.",gelatin silver prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",8 x 11 in,,Adelphoi Zangaki,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/603,1996.10.5,Triomphant Seti les ablimes de la Roqxute,,1870-1885,"Temple of Seti I (Abydos, Egypt)",Isis (Egyptian deity),,,Temples--Egypt,"Inscriptions, Egyptian",,Abydos (Egypt),,"Relief from Temple of Seti I at Abydos (New Kingdom Dynasty XIX); seated figure (possibly Isis) in three quarter view wearing vulture headdress and sun disk and horns of Hathor blesses Seti I standing before her and wearing the khepresh crown and holding a crook (left hand); Seti I identified by cartouche above framed by representation of Horus, damaged wall relief surrounded by hieroglyphs, deities, kings, servants, and flora; ""Zangaki No. 616 Triomphant Seti les ablimes de la Roqxute"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",11 x 9 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/604,1996.9.5,Abydos Interieur du Temple,,1870-1885,"Seti I, King of Egypt","Temple of Seti I (Abydos, Egypt)",,,Temples--Egypt,"Relief (Sculpture), Egyptian",,Abydos (Egypt : Extinct city),,"Relief from the Temple of Seti I at Abydos (New Kingdom Dynasty XIX); relief of Seti I wearing hedjet crown in mummy form upon flat surface, images of Horus in falcon form (above, left and right of pharaoh), Horus and (possibly) Isis bless him (left and right); Thoth, Uraei, and Babi in between columns of hieroglyphs (base of table); row of hieroglyphs and cartouche below incised curving lines; ""Zangaki No. 619 Abydos Interieur du Temple"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.625 x 10.75 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/607,1996.10.9,Isis (Dendérah),,1870-1885,"Temple of Hathor (Dandara, Egypt)",Isis (Egyptian deity),,,,"Relief (Sculpture), Egyptian","Inscriptions, Egyptians",Dandara (Egypt),,"Relief of Goddess Isis, Temple of Hathor at Dendereh (Ptolemaic-Roman Periods); weathered wall relief of Isis in three quarter view wearing the vulture headdress and sun disk and Hathor horns, was scepter (left) papyrus (right); five columns of hieroglyphs surround goddess; layer of dirt covers relief from the waist down; ""Zangaki No. 728 Isis (Denderah)"" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.125 x 8.5 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/612,1996.10.11,Thèbes Tableau dans le tombe de roi,,1870-1885,"Seti I, King of Egypt",,,,Tombs--Egypt,"Relief (Sculpture), Egyptian--Egypt--Valley of the Kings",Khepri (Egyptian deity),Valley of the Kings (Egypt),,"Wall relief of gods Khepra and Khnum, Tomb of Seti II at the Valley of the Kings, West Thebes (New Kingdom Dynasty XIX); Khepra represented as a scarab and Khnum, depicted as a humanoid figure with the head of a ram, in relief within a circle; ""Zangaki N. 951 Thèbes Tableau dans le tombe de roi N 15"" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",11 x 8.625 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/626,1997.5.14,Luksor Stastue de la femme de Ramses,,1870-1885,"Nefertari, Queen, consort of Ramses II, King of Egypt","Temple of Amon (Karnak, Egypt)",,,Statues--Egypt,,,Karnak (Egypt),,"Statue of Queen Nefertiti, Temple of Amen at Luxor, East Thebes (New Kingdom Dynasty XIX); statue of the favorite wife of Rameses II touching her husband's monumental leg, bare breasted and wearing the hesat crown and wig with uraei on the brow, column of hieroglyphs and cartouche indentifying Nefretari (left); Temple of Amen ruins (background); ""Zangaki No. 956 Luksor Stastue de la femme de Ramses"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.875 x 8.5 in,,Adelphoi Zangaki,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/628,1997.5.13,Louxor ensemble des colonnades,,1870-1885,"Temple of Luxor (Luxor, Egypt)","Amenhotep III, King of Egypt",,,Temples--Egypt,,,Luxor (Egypt),,"Colonnade of Amenhotep III, Temple of Amen at Luxor, East Thebes (New Kingdom Dynasty XVIII); lotiform colonnade of Amenhotep III's massic building project within Luxor during his reign, ca. 1391-1353 B.C.E.; ""Zangaki No. 975 Louxor ensemble des colonnades"" in white along bottom of print pasted. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.625 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/630,1999.2.2,Esneh Colones du temple,,1870-1885,"Temple of Khnum (Isn€, Egypt)",,,,Temples--Egypt,,,Isn€ (Egypt),,"Capitals of the Temple of Khnum at Esneh (Ptolemaic-Roman Period); open papyrus capitals of columns in the Temple of Khnum heavily inscribed with images of deities and hieroglyphs, supporting lintel bearing cartouches and rows of inscriptions; rough brick wall (right background); ""Zangaki No. 1018 Esneh Colones du temple"" in white along bottom of  print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.125 x 10.375 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/632,1934.1.31.76,Edfou le couronnement,,1870-1885,"Ptolemy III Euergetes, King of Egypt, -221 B.C.",,,,Tombs--Egypt,"Inscriptions, Egyptian",,,,"Wall relief of King Nectanebo II Crowned by Two Goddesses at Edfu (Ptolemaic Period); King Nectanebo II in three quarter view wears the Pschent or Double Crown as two goddesses in three quarter view wearing the Deshret (left) and Hedjet (right) flank him; trio surrounded by hieroglyphs and cartouches indentifying Nectanebo II; ""Zangaki No 1039 Edfou le couronnement"" in white along bottom of print.",gelatin silver prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",10.875 x 8 in,,Adelphoi Zangaki,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/670,1934.1.31.114,Interieur Mosquee El Azhar,,1870-1885,J€miæÈ al-Azhar,,,,Mosques (Islamic law)--Egypt--Cairo,,,Cairo (Egypt),,"Students at mosque of el-Azhar. A group of Egyptian male students sitting and standing within the colonnade of the mosque and university of el-Azhar; ""Zangaki No. 1618 Interieur Mosquee El Azhar"" in white along bottom of print.",gelatin silver prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",8.5 x 11 in,,Adelphoi Zangaki,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/674,1934.1.31.109,Haute-Egypte Jeunes filles vendeuses d'eau,,1870-1885,,,,,Women--Social life and customs,,,,,"Young water sellers. Six young women garbed in plain robes posed with their water jugs atop their heads before a heavily inscribed column, possibly at Karnak (foreground); more ruins in the background; ""Zangaki No. 708 Haute-Egypte Jeunes filles vendeuses d'eau"" in white along bottom of print.",albumen prints,,,"Gift of Mr. and Mrs. Louis Bailey Audigier, McClung Museum of Natural History and Culture, The University of Tennessee",11 x 8.5 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/678,1999.2.1,Dahabie sur le Nil Egypte,,1870-1885,,,,,Town and Desert Life,Houseboats--Egypt,,Nile River,,"A dahabiyeh on the Nile River; a large dahabiyeh, once the standard for tourists traveling up and down the river, later replaced by the swifter steamboat ca. 1870's (foreground); smaller boats moored at the docks of a small village surrounded by palm trees (background); ""Zangaki 214 Dahabie sur Le Nil Egypte"" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.75 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/696,1992.2.26,Phylae Le Kiosque d'Isis,,1870-1885,Kiosk of Trajan,,,,Temples--Egypt,,,Philae (Egypt),,"Kiosk of Trajan with first pylon of the Temple of Isis at Philae (Late Ptolemaic-Roman Period); open papyrus colonnade of the Kiosk of Trajan, two Egyptian men and one western man sit before it (foreground); incised first pylon of the Temple of Isis (left background); ""Zangaki No. 1082 Phylae Le Kiosque d'Isis"" in white along bottom of print. (Number on object is 26/655).",albumen prints,,,"Gift of Marcia S. Young, McClung Museum of Natural History and Culture, The University of Tennessee",8.25 x 10.75 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/697,1992.2.24,,Temple of Isis and Kiosk of Trajan from Island of Bigga,1870-1885,"Temple of Isis (Qinaíã, Egypt)",Kiosk of Trajan,,,Temples--Egypt,,,Agilikia Island,Philae (Egypt),"Temple of Isis and Kiosk of Trajan from Island of Bigga at Philae (Ptolemaic-Roman Periods); palm trees and ruins on the Island of Bigga (foreground); Temple complex and Kiosk of Island of Philae across the Nile River, palm trees, distant mountain range (background); ""Zangaki No 1068...."" in white along bottom of print; untitled print. (Number on object is 24/655).",albumen prints,,,"Gift of Marcia S. Young, McClung Museum of Natural History and Culture, The University of Tennessee",8.5 x 11 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/705,2003.2.1,Bateaux arretes a Port S.....de Drague,,1870-1885,,,,,,,,Port Said (Egypt),Suez Canal (Egypt),"Long view of Suez Canal in Egypt with sailing ships strung together in center and moored in background; 2 3-storied buildings at right. ""N 14 Bateaux arretes a Port Suez de Drague"" on print at bottom right; ""Zangaki"" at bottom left corner.",albumen prints,,,"Anonymous, McClung Museum of Natural History and Culture, The University of Tennessee",10.75 x 8.5 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/707,1996.10.25,…de temple de Isis,,1870-1885,"Temple of Isis (Aswan, Egypt)",,,,Temples--Egypt,,,,,"West Colonnade, Temple of Isis at Philae (Ptolemaic Period); twenty one columns with floral capitals support ruined stone structure leading from middle of left in a diagonal line to bottom right corner of  palm trees, rocky hill, body of water, and mountain range (background); ""Zangaki No. 1075...de Temple de Isis"" in white along bottom of print. ",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.375 x 10.75 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/710,1996.10.24,Kom Ombo temple de Sebek et Horus…,,1870-1885,Temple of Sobek and Haroeris (Ombos),,,,Temples--Egypt,,,Ombos (Extinct city),,"Temple of Sobek and Heroeris at Kom Ombo (Ptolemaic Period); main Temple constructed of sandstone dedicated to two triads of deities before cleared of debris by Jacques de Morgan in 1893 (foreground); ""Zangaki No. 784 Kom Ombo Temple de Sebek et Horus..."" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",8.625 x 11 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/718,1995.2.2,Salle Hypostyle de Grand Temple à Karnak,,1870-1885,"Temple of Amon (Karnak, Egypt)",,,,Temples--Egypt,,,Karnak (Egypt),,"Hypostyle Hall, Temple of Amen at Karnak (New Kingdom Dynasty XIX); Egyptian man stands among fragmented closed papyrus columns, incised with cartouche of Rameses II, below lintels; ""Zangaki No 984 Salle Hypostyle de Grand Temple a Karnak"" in white along bottom of print. (Number on object is 2/696)",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.875 x 8.375 in,,Adelphoi Zangaki ,corporate,1860-1889,,
https://kiva.lib.utk.edu/egypt/items/show/749,1997.5.2,Sphynxe armachis,,1870-1885,,,,,Tombs--Egypt,Great Sphinx (Egypt),,Jiíãzah (Egypt),,"The Great Sphinx and Dream Stele at Gizeh (Old & New Kingdoms); the sphinx, partially excavated, behind the Dream Stele of Thutmose IV, erected in the first year of his reign (foreground); three Egyptian men near stela surrounded by ruins and rubble; ""Zangaki No 403 Sphynxe armachis"" in white along bottom of print.",albumen prints,,,"Gift of the Friends of Egyptology, McClung Museum of Natural History and Culture, The University of Tennessee",10.875 x 8.125 in,,Adelphoi Zangaki ,corporate,1860-1889,,
